recipe_name,recipe_link,recipe_type
10 best slow cooker recipes,https://realfood.tesco.com/gallery/best-slow-cooker-recipes.html,Top 10
Amazing ways to use Boursin,https://realfood.tesco.com/curatedlist/amazing-ways-to-use-boursin.html,Tips and trends
How to make melt-in-the-middle meatballs,https://realfood.tesco.com/step-by-step/how-to-make-meatballs.html,Step-by-step
3-ingredient pulled pork lettuce cups,https://realfood.tesco.com/step-by-step/3-ingredient-pulled-pork-lettuce-cups.html,Step-by-step
Nostalgic puddings and treats we still love,https://realfood.tesco.com/curatedlist/nostalgic-puddings-and-treats-we-still-love.html,Tips and trends
Our favourite ginger recipes,https://realfood.tesco.com/gallery/our-favourite-ginger-recipes.html,Top 10
10 ways to flavour roast chicken,https://realfood.tesco.com/curatedlist/10-ways-to-flavour-roast-chicken.html,Tips and trends
3 ways with Jaffa cakes,https://realfood.tesco.com/curatedlist/3-ways-with-jaffa-cakes.html,Tips and trends
How to make potato dauphinoise,https://realfood.tesco.com/step-by-step/how-to-make-potato-dauphinoise.html,Step-by-step
10 breakfast and brunch recipes to kick off Christmas,https://realfood.tesco.com/gallery/10-breakfast-and-brunch-recipes-to-kick-off-christmas.html,Top 10
10 best vegan meals,https://realfood.tesco.com/gallery/10-best-vegan-meals.html,Top 10
How to make avocado chocolate mousse,https://realfood.tesco.com/step-by-step/how-to-make-avocado-chocolate-mousse.html,Step-by-step
10 speedy roast dinner recipes,https://realfood.tesco.com/gallery/10-speedy-roast-dinner-recipes.html,Top 10
Seven ways to use up leftover bananas,https://realfood.tesco.com/curatedlist/seven-ways-to-use-up-leftover-bananas.html,Tips and trends
Summer desserts,https://realfood.tesco.com/gallery/summer-dessert-recipes.html,Top 10
Speedy BBQ recipes,https://realfood.tesco.com/gallery/speedy-bbq-recipes.html,Top 10
10 super spring salad recipes,https://realfood.tesco.com/gallery/10-super-spring-salad-recipes.html,Top 10
5 easy family dinners for £25: Week 15,https://realfood.tesco.com/curatedlist/5-easy-family-dinners-for-25-week-15.html,Tips and trends
Top 10 summer salad recipes,https://realfood.tesco.com/gallery/top-10-summer-salad-recipes.html,Top 10
10 new ways with cheese,https://realfood.tesco.com/gallery/10-new-ways-with-cheese.html,Top 10
Amazing ways to use low-alcohol beer,https://realfood.tesco.com/curatedlist/amazing-ways-to-use-low-alcohol-beer.html,Tips and trends
Seven quick breakfast ideas for kids,https://realfood.tesco.com/summer/seven-quick-breakfast-ideas-for-kids.html,Tips and trends
How to make mini star biscuits,https://realfood.tesco.com/step-by-step/how-to-make-petite-star-biscuits-for-mugs.html,Step-by-step
3-ingredient oaty banana choc chip cookies,https://realfood.tesco.com/step-by-step/3-ingredient-oaty-banana-choc-chip-cookies.html,Step-by-step
Seven spice mixes you need to know,https://realfood.tesco.com/curatedlist/seven-spice-mixes-you-need-to-know.html,Tips and trends
How to make a marmalade cake,https://realfood.tesco.com/step-by-step/how-to-make-a-marmalade-cake.html,Step-by-step
How to make cinnamon buns,https://realfood.tesco.com/step-by-step/how-to-make-cinnamon-buns.html,Step-by-step
10 perfect St Patrick's Day recipes,https://realfood.tesco.com/gallery/10-perfect-st-patricks-day-recipes.html,Top 10
Seven comfort food classics made healthier,https://realfood.tesco.com/curatedlist/seven-comfort-food-classics-made-healthier.html,Tips and trends
10 brilliant dairy-free breakfasts,https://realfood.tesco.com/gallery/10-brilliant-dairy-free-breakfasts.html,Top 10
Seven clever ways with guacamole you need to know,https://realfood.tesco.com/curatedlist/seven-clever-ways-with-guacamole-you-need-to-know.html,Tips and trends
Vegan dinner swaps to up your 5 a day,https://realfood.tesco.com/curatedlist/vegan-dinner-swaps-to-up-your-5-a-day.html,Tips and trends
Breakfast for dinner recipe ideas,https://realfood.tesco.com/curatedlist/breakfast-for-dinner.html,Tips and trends
Best BBQ fish and seafood recipes,https://realfood.tesco.com/gallery/best-bbq-fish-and-seafood-recipes.html,Top 10
10 brilliant batter recipes,https://realfood.tesco.com/gallery/10-brilliant-batter-recipes.html,Top 10
7 delicious dressings to spruce up your salads,https://realfood.tesco.com/curatedlist/7-delicious-dressings-to-spruce-up-your-salads.html,Tips and trends
How to make macaron ice cream sandwiches,https://realfood.tesco.com/step-by-step/how-to-make-macaron-ice-cream-sandwiches.html,Step-by-step
How to make summer pudding,https://realfood.tesco.com/step-by-step/how-to-make-summer-pudding.html,Step-by-step
Six ways to use up leftover turkey,https://realfood.tesco.com/curatedlist/six-ways-to-use-up-leftover-turkey.html,Tips and trends
10 best chocolate recipes for chocolate lovers,https://realfood.tesco.com/gallery/10-best-chocolate-recipes-for-chocolate-lovers.html,Top 10
Seven ways to make an impressive vegan dinner,https://realfood.tesco.com/curatedlist/seven-ways-to-make-an-impressive-vegan-dinner.html,Tips and trends
